269 000 zł,1 pokój,33 m²,https://www.otodom.pl/pl/oferta/osiedle-chelmonskiego-ladne-rozkladowe-m-2-do-zamieszkania-ID4yuHW,"Osiedle Chełmońskiego Ładne, rozkładowe M-2 do zamieszkania","ul. Józefa Chełmońskiego, Górniak, Górna, Łódź, łódzkie"
714 000 zł,3 pokoje,79.35 m²,https://www.otodom.pl/pl/oferta/komfortowe-80-m2-z-wyposazeniem-w-cenie-lodz-ul-obywatelska-ID4ygGD,Komfortowe 80 m2 z wyposażeniem w cenie - Łódź ul. Obywatelska,"Nowe Sady, Polesie, Łódź, łódzkie"
999 000 zł,3 pokoje,66.92 m²,https://www.otodom.pl/pl/oferta/tu-zacumujesz-na-dluzej-marina-czeka-z-widokiem-i-stylem-julianow-ID4zchX,Tu zacumujesz na dłużej – Marina czeka z widokiem i stylem! | JULIANÓW,"Żabieniec, Bałuty, Łódź, łódzkie"
448 912 zł,3 pokoje,51.73 m²,https://www.otodom.pl/pl/oferta/promocja-black-week-3-pokoje-piotrkowska-metro-manufaktura-ID4zaMQ,Promocja! Black Week - 3 pokoje Piotrkowska - Metro - Manufaktura,"Centrum, Śródmieście, Łódź, łódzkie"
421 288 zł,3 pokoje,49.54 m²,https://www.otodom.pl/pl/oferta/garaz-gratis-black-week-3-pokoje-politechnika-lodzka-sukcesja-ID4zarj,Garaż gratis! Black Week - 3 pokoje - Politechnika Łódzka • Sukcesja,"Nowe Rokicie, Górna, Łódź, łódzkie"
Zapytaj o cenę,4 pokoje,89.62 m²,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-balkon-bez-prowizji-ID4usUB,4-pokojowe mieszkanie 89m2 + balkon Bez Prowizji,"ul. Dowborczyków, Fabryczna Widzew, Widzew, Łódź, łódzkie"
Zapytaj o cenę,5 pokoi,155.66 m²,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-155m2-2-loggie-ID4ujke,5-pokojowe mieszkanie 155m2 + 2 loggie,"ul. Brzeźna, Centrum, Śródmieście, Łódź, łódzkie"
325 017 zł,1 pokój,32.83 m²,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4wsSA,1-pokojowe mieszkanie 32m2 + balkon Bez Prowizji,"ul. Marcina Kasprzaka, Stare Polesie, Polesie, Łódź, łódzkie"
168 000 zł,2 pokoje,39 m²,https://www.otodom.pl/pl/oferta/dwa-pokoje-kolo-umedu-dla-studenta-lub-rodziny-ID4xA3I,Dwa pokoje koło UMEDu. Dla studenta lub rodziny.,"Stare Polesie, Polesie, Łódź, łódzkie"
419 000 zł,2 pokoje,39.3 m²,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-ID4xjxN,2-pokojowe mieszkanie 39m2 + balkon,"ul. Naftowa, Stare Polesie, Polesie, Łódź, łódzkie"
