price,n_rooms,area,price_per_m2,link,title,address,district
4340,3,58.92,74.0,https://www.otodom.pl/pl/oferta/bez-prowizji-przestronne-3-pokojowe-mieszkanie-ID4ySgP,Bez prowizji | Przestronne 3-pokojowe mieszkanie,"Łobzów, Krowodrza, Kraków, małopolskie",Krowodrza
3000,2,41.24,73.0,https://www.otodom.pl/pl/oferta/ciche-i-stylowe-2-pok-zablocie-ul-dekerta-ID4yMc6,"Ciche i stylowe 2-pok. Zabłocie, ul. Dekerta","ul. Jana Dekerta, Zabłocie, Podgórze, Kraków, małopolskie",Podgórze
2700,2,45.0,60.0,https://www.otodom.pl/pl/oferta/mieszkanie-ul-ruczaj-z-miejscem-parkingowym-w-garazu-podziemnym-ID4zckE,Mieszkanie ul. Ruczaj z miejscem parkingowym w garażu podziemnym.,"ul. Ruczaj, Ruczaj, Dębniki, Kraków, małopolskie",Dębniki
5500,3,75.0,73.0,https://www.otodom.pl/pl/oferta/wislane-tarasy-2-0-3pok-pets-eng-ID4zckD,Wiślane Tarasy 2.0 | 3pok | pets | ENG,"Grzegórzki, Grzegórzki, Kraków, małopolskie",Grzegórzki
2600,2,40.0,65.0,https://www.otodom.pl/pl/oferta/2-pokoje-krakow-podgorze-40m2-ID4zckf,2 pokoje | kraków-Podgórze | 40m2,"ul. Sarmacka, Płaszów, Podgórze, Kraków, małopolskie",Podgórze
2500,2,47.45,53.0,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-i-miejscem-postojowym-ID4zck5,2 pokoje z balkonem i miejscem postojowym,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",Podgórze
2550,1,29.36,87.0,https://www.otodom.pl/pl/oferta/studio-sala-fitness-coworking-no-commision-ID4z4X4,Studio | sala fitness | coworking | NO COMMISION,"ul. Zaczarowane Koło, Bronowice, Bronowice, Kraków, małopolskie",Bronowice
2700,2,52.0,52.0,https://www.otodom.pl/pl/oferta/2-pok-52m2-balkon-grota-roweckiego-ruczaj-ID4yR6P,"2 pok | 52m2 | balkon - Grota Roweckiego, Ruczaj","ul. gen. Stefana Grota-Roweckiego, Ruczaj, Dębniki, Kraków, małopolskie",Dębniki
2000,1,26.0,77.0,https://www.otodom.pl/pl/oferta/kawalerka-26m2-kraszewskiego-centrum-ID4yLxY,"Kawalerka (26m2) - Kraszewskiego, Centrum","ul. Józefa Ignacego Kraszewskiego, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",Zwierzyniec
2800,2,36.0,78.0,https://www.otodom.pl/pl/oferta/piekne-nowoczesne-2pokojowe-ul-reduta-krakow-wynajme-ID4z0mS,"Piękne, nowoczesne 2pokojowe ul. Reduta Kraków wynajmę","ul. Reduta, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
2200,1,29.0,76.0,https://www.otodom.pl/pl/oferta/kawalerka-ul-piltza-ruczaj-29-m2-ogrodek-ID4u7CO,Kawalerka ul. Piltza / Ruczaj / 29 m2 + ogródek!,"ul. dr. Jana Piltza, Kobierzyn, Dębniki, Kraków, małopolskie",Dębniki
2400,1,28.97,83.0,https://www.otodom.pl/pl/oferta/zamieszkaj-przy-lesie-wolskim-ID4y6pc,Zamieszkaj przy Lesie Wolskim,"ul. Leśna, Wola Justowska, Zwierzyniec, Kraków, małopolskie",Zwierzyniec
2280,1,34.74,66.0,https://www.otodom.pl/pl/oferta/bez-prowizji-urocza-kawalerka-lobzow-ID4yUen,Bez prowizji | Urocza kawalerka | Łobzów,"Łobzów, Krowodrza, Kraków, małopolskie",Krowodrza
2600,2,44.0,59.0,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-wizjonerow-bronowice-z-garazem-ID4ys3f,"Mieszkanie 2 pok Wizjonerów, Bronowice z garażem","Wizjonerów, Bronowice Małe, Bronowice, Kraków, małopolskie",Bronowice
2300,1,32.0,72.0,https://www.otodom.pl/pl/oferta/fajne-mieszkanie-kliny-zacisze-ID4qoSM,Fajne mieszkanie - Kliny Zacisze,"ul. bp. Albina Małysiaka, Kobierzyn, Dębniki, Kraków, małopolskie",Dębniki
2300,1,34.0,68.0,https://www.otodom.pl/pl/oferta/studio-34-m2-osiedle-mozarta-vinci-o3-business-ID4zciH,"Studio, 34 m2, osiedle Mozarta, Vinci, O3 Business","Prądnik Biały, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
4450,2,46.0,97.0,https://www.otodom.pl/pl/oferta/grzegorzecka-wislane-tarasy-2-0-nowe-2pokoje-46m2-ID4xWGT,Grzegórzecka Wiślane Tarasy 2.0 nowe 2pokoje 46m2,"Grzegórzki, Grzegórzki, Kraków, małopolskie",Grzegórzki
3200,4,67.0,48.0,https://www.otodom.pl/pl/oferta/4300-all-pet-friendly-4pok-balkon-eng-ID4zci1,4300 ALL | Pet friendly | 4pok | Balkon | ENG,"ul. Pszenna, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
1890,1,23.0,82.0,https://www.otodom.pl/pl/oferta/wynajme-kawalerke-pradnik-czerwony-meissnera-ulica-ugorek-ID4z0L6,"Wynajmę kawalerkę Prądnik czerwony, Meissnera, ulica Ugorek","ul. Ugorek, Rakowice, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
