price,n_rooms,area,price_per_m2,link,title,address,district
399999,2,41.33,9678.0,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-centrum-opola-tylko-90-m-od-rynku-ID4ycgr,Mieszkanie 2-pokojowe centrum Opola – tylko 90 m od Rynku,"Stare Miasto, Opole, opolskie",Stare Miasto
630000,3,66.0,9545.0,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-66-metrow-opole-malinka-sloneczne-cieple-ID4yxbW,"Sprzedam mieszkanie 66 metrów Opole Malinka - słoneczne, ciepłe","ul. Piotrkowska, Malinka, Opole, opolskie",Malinka
855000,4,75.61,11308.0,https://www.otodom.pl/pl/oferta/bezczynszowy-apartament-z-ogrodem-do-zamieszkania-chmielowice-ID4yWyS,Bezczynszowy apartament z ogrodem| do zamieszkania Chmielowice,"Chmielowice, Opole, opolskie",Chmielowice
410000,2,43.38,9451.0,https://www.otodom.pl/pl/oferta/nowa-cena-srodmiescie-balkon-media-miejskie-ID4utTU,"Nowa cena, Śródmieście, Balkon, Media miejskie","Śródmieście, Opole, opolskie",Śródmieście
640000,4,89.5,7151.0,https://www.otodom.pl/pl/oferta/wyjatkowe-4-pokoje-w-sercu-opola-2-lazienki-parking-potencjal-inwest-ID4xqSL,"Wyjątkowe 4 pokoje w sercu Opola 2 łazienki, parking, potencjał inwest","pl. Józefa Piłsudskiego, Nadodrze, Opole, opolskie",Nadodrze
373000,1,29.0,12862.0,https://www.otodom.pl/pl/oferta/kawalerka-w-apartamencie-ID4zc0x,Kawalerka w apartamencie,"Szczepanowice - Wójtowa Wieś, Opole, opolskie",Szczepanowice - Wójtowa Wieś
530000,3,61.9,8562.0,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-malince-ID4x3SL,Trzypokojowe mieszkanie na Malince,"Malinka, Opole, opolskie",Malinka
490000,4,72.0,6806.0,https://www.otodom.pl/pl/oferta/mieszkanie-z-mozliwoscia-podzialu-na-dwa-ID4yDsa,Mieszkanie z możliwością podziału na dwa!!,"ul. Robotnicza, Śródmieście, Opole, opolskie",Śródmieście
490000,3,72.0,6806.0,https://www.otodom.pl/pl/oferta/przestronne-3-4-pokoje-w-okolicy-centrum-ID4xJSy,Przestronne 3/4 pokoje w okolicy centrum.,"ul. Robotnicza, Śródmieście, Opole, opolskie",Śródmieście
564456,2,48.66,11600.0,https://www.otodom.pl/pl/oferta/atlantis-prestige-park-mieszkanie-2-pok-iv104-ID4wkbA,Atlantis Prestige Park | mieszkanie 2-pok. | IV104,"ul. Pomorska/Zielonogórska, Kolonia Gosławicka, Opole, opolskie",Kolonia Gosławicka
729000,3,51.24,14227.0,https://www.otodom.pl/pl/oferta/nowe-calkowicie-wyposazone-z-tarasem-i-ogrodem-ID4vU7F,"Nowe, całkowicie wyposażone, z tarasem i ogrodem","ul. Aleja Wincentego Witosa, Gosławice, Opole, opolskie",Gosławice
799000,4,75.2,10625.0,https://www.otodom.pl/pl/oferta/nowa-cena-nowy-apartament-z-ogrodkiem-i-p-ciepla-ID4yG0x,NOWA CENA! Nowy apartament z ogródkiem i p. ciepła,"ul. Oświęcimska, Grotowice, Opole, opolskie",Grotowice
900000,3,107.0,8411.0,https://www.otodom.pl/pl/oferta/komfortowe-3-pokojowe-mieszkanie-garderoba-dwie-lazienki-spizarka-ID4z1ae,"Komfortowe 3-pokojowe Mieszkanie, Garderoba, Dwie Łazienki, Spiżarka","Śródmieście, Opole, opolskie",Śródmieście
684000,3,55.41,12344.0,https://www.otodom.pl/pl/oferta/dwustronne-3pokojowe-z-dwoma-tarasami-ID4zbrF,Dwustronne 3pokojowe z dwoma tarasami!,"Szczepanowice - Wójtowa Wieś, Opole, opolskie",Szczepanowice - Wójtowa Wieś
869000,2,50.98,17046.0,https://www.otodom.pl/pl/oferta/jedyne-mieszkanie-wysoki-standard-w-centrum-z-miejscem-postojowym-ID4zbjA,Jedyne mieszkanie - wysoki standard w centrum z miejscem postojowym,"Śródmieście, Opole, opolskie",Śródmieście
650000,3,71.6,9078.0,https://www.otodom.pl/pl/oferta/wejdz-i-zamieszkaj-wszystko-nowe-czeka-na-ciebie-ID4z7mF,"Wejdź i zamieszkaj wszystko nowe czeka na Ciebie,","Stare Miasto, Opole, opolskie",Stare Miasto
339000,2,29.91,11334.0,https://www.otodom.pl/pl/oferta/2-pokojowe-30-m2-po-generalnym-remoncie-na-zaodrzu-ID4zbcS,2 pokojowe 30 m2 po generalnym remoncie na Zaodrzu,"Zaodrze, Opole, opolskie",Zaodrze
472000,2,47.85,9864.0,https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-z-balkonem-osiedle-armii-krajowej-opole-ID4zbcg,"Przytulne 2 pokoje z balkonem osiedle Armii Krajowej, Opole","ul. Skautów Opolskich, Armii Krajowej, Opole, opolskie",Armii Krajowej
399000,2,45.05,8857.0,https://www.otodom.pl/pl/oferta/mieszkanie-dwa-pokoje-w-zielonej-okolicy-ID4zbbZ,Mieszkanie dwa pokoje w zielonej okolicy,"ul. Fabryczna, Śródmieście, Opole, opolskie",Śródmieście
528000,2,47.0,11234.0,https://www.otodom.pl/pl/oferta/zaodrze-po-generalnym-remoncie-czysta-ksiega-wieczysta-bezposrednio-ID4vTUQ,"Zaodrze po generalnym remoncie, czysta księga wieczysta. Bezpośrednio","ul. Alojzego Dambonia, Zaodrze, Opole, opolskie",Zaodrze
280000,1,22.0,12727.0,https://www.otodom.pl/pl/oferta/kawalerka-gruwaldzka-30-lokal-ID4zb0P,kawalerka Gruwaldzka 30 lokal,"Śródmieście, Opole, opolskie",Śródmieście
695000,2,68.0,10221.0,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-w-sercu-opola-blisko-rynku-ID4wgIM,Wyjątkowy Apartament W Sercu Opola Blisko Rynku,"ul. Augustyna Kośnego, Śródmieście, Opole, opolskie",Śródmieście
429000,3,51.88,8269.0,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-w-samym-centrum-miasta-ID4yN6f,Mieszkanie inwestycyjne w samym centrum miasta,"Stare Miasto, Opole, opolskie",Stare Miasto
649000,3,60.71,10690.0,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-3-pok-60-m2-ID4zaHk,"Mieszkanie z ogródkiem, 3 pok. 60 m2","Chmielowice, Opole, opolskie",Chmielowice
375000,2,43.11,8699.0,https://www.otodom.pl/pl/oferta/opole-2-pokojowe-mieszkanie-o-pow-43-11m2-ID4waE4,"Opole – 2 pokojowe mieszkanie o pow. 43,11m2","ul. 1 Maja, Śródmieście, Opole, opolskie",Śródmieście
439000,2,52.0,8442.0,https://www.otodom.pl/pl/oferta/sloneczne-dwa-pokoje-w-centrum-ID4zaFo,słoneczne dwa pokoje w centrum,"Stare Miasto, Opole, opolskie",Stare Miasto
475000,3,49.46,9604.0,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-opole-ul-wojska-polskiego-ID4yhMu,"3-pok. mieszkanie – Opole, ul. Wojska Polskiego","ul. Wojska Polskiego, Zaodrze, Opole, opolskie",Zaodrze
470000,3,48.0,9792.0,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-na-dambonia-balkon-ID4zafi,Mieszkanie po remoncie na Dambonia. Balkon,"ul. Alojzego Dambonia, Zaodrze, Opole, opolskie",Zaodrze
535000,2,47.85,11181.0,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-swiezo-po-remoncie-opole-os-ak-ID4zaeF,Mieszkanie 2 pok. świeżo po remoncie Opole oś. AK,"Armii Krajowej, Opole, opolskie",Armii Krajowej
589000,3,59.84,9843.0,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-zwm-59-84m2-4-pietro-z-winda-3-pokoje-ID4za7l,"Na sprzedaż - mieszkanie ZWM 59,84m2, 4 piętro z windą, 3 pokoje","ul. Stefana Grota-Roweckiego, Armii Krajowej, Opole, opolskie",Armii Krajowej
555000,3,65.0,8538.0,https://www.otodom.pl/pl/oferta/nowa-cena-mieszkanie-na-sprzedaz-65m2-bielska-bezposrednio-ID4wk5W,"NOWA CENA - Mieszkanie na sprzedaż 65m2, Bielska, bezpośrednio","ul. Bielska, Malinka, Opole, opolskie",Malinka
535000,2,47.85,11181.0,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-48m2-2-pokoje-balkon-zwm-ID4z9Xv,"Mieszkanie po remoncie 48m2, 2 pokoje, balkon ZWM","ul. Stefana Grota-Roweckiego, Armii Krajowej, Opole, opolskie",Armii Krajowej
490000,4,65.23,7512.0,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-65-23m2-opole-zwm-ID4yCT4,"Mieszkanie na sprzedaż, 65.23m2, Opole (ZWM)","ul. Stefana Grota-Roweckiego, Armii Krajowej, Opole, opolskie",Armii Krajowej
859000,3,69.49,12361.0,https://www.otodom.pl/pl/oferta/do-wprowadzenia-apartament-3-pok-z-mp-w-garazu-ID4xDVA,Do wprowadzenia Apartament 3 pok z mp w garażu!,"Zaodrze, Opole, opolskie",Zaodrze
645000,3,62.73,10282.0,https://www.otodom.pl/pl/oferta/apartament-z-pompa-ciepla-i-garazem-opole-goslawic-ID4yGtr,Apartament z pompą ciepła i garażem/Opole Gosławic,"ul. Skrajna, Gosławice, Opole, opolskie",Gosławice
529000,4,62.0,8532.0,https://www.otodom.pl/pl/oferta/niski-blok-atrakcyjna-lokalizacja-blisko-centrum-ID4z9oi,"Niski blok, atrakcyjna lokalizacja, blisko centrum!","ul. Bzów, Chabry, Opole, opolskie",Chabry
679000,3,63.0,10778.0,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-opole-malinka-kolonia-goslawicka-ID4yt7e,Sprzedam mieszkanie Opole Malinka/Kolonia Gosławicka,"ul. Sieradzka, Malinka, Opole, opolskie",Malinka
590000,3,60.8,9704.0,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-domu-dwurodzinnym-ID4y42n,Na sprzedaż mieszkanie w domu dwurodzinnym,"Nowa Wieś Królewska, Opole, opolskie",Nowa Wieś Królewska
408000,2,49.1,8310.0,https://www.otodom.pl/pl/oferta/przestronne-2-pokojowe-mieszkanie-z-balkonem-ID4y62L,Przestronne 2-pokojowe mieszkanie z balkonem,"ul. Wiejska, Malinka, Opole, opolskie",Malinka
658000,3,65.5,10046.0,https://www.otodom.pl/pl/oferta/65m2-z-ogrodem-i-2-miejsca-parkingowe-bezpieczne-osiedle-w-opolu-ID4toxZ,65m2 z ogrodem i 2 miejsca parkingowe - bezpieczne osiedle w Opolu,"Chmielowice, Opole, opolskie",Chmielowice
629000,3,64.9,9692.0,https://www.otodom.pl/pl/oferta/duze-mieszkanie-z-balkonem-i-piwnica-kolonia-gosl-ID4y0g4,Duże mieszkanie z balkonem i piwnicą -Kolonia Gosł,"Stare Miasto, Opole, opolskie",Stare Miasto
319000,1,25.0,12760.0,https://www.otodom.pl/pl/oferta/piekna-kawalerka-stan-idealny-ID4z91Y,"Piękna kawalerka, stan idealny","ul. Alojzego Dambonia, Zaodrze, Opole, opolskie",Zaodrze
480000,2,44.0,10909.0,https://www.otodom.pl/pl/oferta/os-przylesie-2-pokojowe-z-garazem-balkon-winda-ID4z91R,"os. Przylesie, 2 pokojowe z garażem, balkon, winda","Stare Miasto, Opole, opolskie",Stare Miasto
795000,3,63.0,12619.0,https://www.otodom.pl/pl/oferta/mieszkanie-do-zamieszkania-63m2-z-ogrodem-2-miejsca-parkingowe-ID4z86R,Mieszkanie (do zamieszkania) 63m2 z ogrodem + 2 miejsca parkingowe,"ul. Dworska, Szczepanowice - Wójtowa Wieś, Opole, opolskie",Szczepanowice - Wójtowa Wieś
359000,1,36.2,9917.0,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-w-samym-sercu-miasta-ID4ySXa,Przestronna kawalerka w samym sercu miasta!,"Chabry, Opole, opolskie",Chabry
