price,n_rooms,area,price_per_m2,link,title,address,district
2800,2,51.0,55.0,https://www.otodom.pl/pl/oferta/przytulny-apartament-opole-ul-domanskiego-ID4xOZc,Przytulny Apartament Opole ul. Domańskiego,"ul. ks. Bolesława Domańskiego, Zaodrze, Opole, opolskie",Zaodrze
2700,3,50.0,54.0,https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-z-osobnym-wejsciem-ul-luboszycka-36a-ID4yV9l,Bezczynszowe mieszkanie z osobnym wejściem – ul. Luboszycka 36A,"ul. Luboszycka, Zakrzów, Opole, opolskie",Zakrzów
1800,2,39.0,46.0,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-centrum-ul-duboisa-ID4zbWf,"Dwupokojowe mieszkanie w Centrum, ul. Duboisa","Śródmieście, Opole, opolskie",Śródmieście
2920,3,66.0,44.0,https://www.otodom.pl/pl/oferta/mieszkanie-66m-balkon-27m-do-wynajecia-osiedle-nowe-przylesie-ID4zbTo,Mieszkanie 66m + balkon 27m do wynajęcia osiedle Nowe Przylesie,"ul. 10 Sudeckiej Dywizji Zmechanizowanej, Półwieś, Opole, opolskie",Półwieś
2600,3,84.0,31.0,https://www.otodom.pl/pl/oferta/3-pokoje-84m2-1-pietro-balkon-media-miejskie-ID4za32,3 pokoje 84m2 1 Piętro / BALKON / Media Miejskie,"ul. ks. Konstantego Damrota, Stare Miasto, Opole, opolskie",Stare Miasto
2500,2,40.0,62.0,https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-ul-jagielly-czarnowasy-opole-ID4zbzS,"Mieszkanie do wynajęcia – ul. Jagiełły, Czarnowąsy (Opole)","ul. Władysława Jagiełły, Czarnowąsy, Opole, opolskie",Czarnowąsy
3900,2,100.0,39.0,https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-ul-krakowska-39-3a-opole-ID4zbx4,"Mieszkanie do wynajęcia – ul. Krakowska 39/3a, Opole","ul. Krakowska, Stare Miasto, Opole, opolskie",Stare Miasto
3100,3,74.0,42.0,https://www.otodom.pl/pl/oferta/3-pokoje-74m2-media-miejskie-balkon-garaz-miejsce-postojowe-ID4yYMC,3 pokoje 74m2 Media miejskie - BALKON/Garaż + miejsce postojowe/,"ul. Górna, Kolonia Gosławicka, Opole, opolskie",Kolonia Gosławicka
3250,3,69.0,47.0,https://www.otodom.pl/pl/oferta/3-pok-piekny-apartament-balkon-2mp-ul-ozimska-ID4rPpR,"3 pok. piękny apartament, balkon, 2MP, ul. Ozimska","ul. Ozimska, Śródmieście, Opole, opolskie",Śródmieście
2200,3,48.0,46.0,https://www.otodom.pl/pl/oferta/433-17022-omw-ID4zb7A,433/17022/OMW,"Stare Miasto, Opole, opolskie",Stare Miasto
