price,n_rooms,area,price_per_m2,link,title,address,district
618420,2,56.22,11000.0,https://www.otodom.pl/pl/oferta/bez-prowizji-po-rewitalizacji-winda-ID4y4L1,"Bez prowizji: po rewitalizacji, winda","ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
649740,2,63.7,10200.0,https://www.otodom.pl/pl/oferta/apartament-przy-off-piotrkowska-ID4yeL1,apartament przy Off Piotrkowska,"ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
726639,4,105.31,6900.0,https://www.otodom.pl/pl/oferta/samo-centrum-off-piotrkowska-ID4yeL2,samo centrum: Off Piotrkowska,"ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
493218,2,49.82,9900.0,https://www.otodom.pl/pl/oferta/nawrot-piotrkowska-sienkiewicza-ID4yeL3,Nawrot/Piotrkowska-Sienkiewicza,"ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
466032,3,61.32,7600.0,https://www.otodom.pl/pl/oferta/gotowe-ID4yeP9,gotowe,"ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
434500,2,42.81,10149.0,https://www.otodom.pl/pl/oferta/ok-piotrkowska-iii-pietro-winda-lokal-jak-loft-ID4yEJO,"ok. Piotrkowska: Iii piętro/winda, lokal jak loft","Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
384334,1,35.26,10900.0,https://www.otodom.pl/pl/oferta/cena-promocyjna-do-konca-listopada-ID4yH1G,cena promocyjna do końca listopada,"ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
399999,2,37.0,10811.0,https://www.otodom.pl/pl/oferta/mieszkanie-37m-1-pietro-salon-z-aneksem-sypialnia-lodz-ID4xlEE,"Mieszkanie 37 m², 1. piętro, salon z aneksem + sypialnia – Łódź","ul. Uroczysko, Rokicie, Górna, Łódź, łódzkie",Górna
547371,3,55.29,9900.0,https://www.otodom.pl/pl/oferta/nawrot-piotrkowska-gotowe-ID4z18f,Nawrot/Piotrkowska gotowe,"ul. Nawrot, Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
563420,2,43.34,13000.0,https://www.otodom.pl/pl/oferta/2-pokoje-do-wprowadzenia-ID4z200,"2 pokoje, do wprowadzenia.","ul. płk. dr. Stanisława Więckowskiego, Stare Polesie, Polesie, Łódź, łódzkie",Polesie
380000,2,47.0,8085.0,https://www.otodom.pl/pl/oferta/2-pokoje-po-generalnym-remoncie-limanowskiego-63-ID4ySUY,2 pokoje po generalnym remoncie | Limanowskiego 63,"ul. Bolesława Limanowskiego, Stare Bałuty, Bałuty, Łódź, łódzkie",Bałuty
385500,2,55.0,7009.0,https://www.otodom.pl/pl/oferta/kup-i-zarabiaj-od-pierwszego-dnia-centrum-ID4xPbQ,Kup i zarabiaj od pierwszego dnia – centrum |,"ul. Pomorska, Fabryczna, Śródmieście, Łódź, łódzkie",Śródmieście
574872,3,56.36,10200.0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-bez-prowizji-ID4u8Wc,3-pokojowe mieszkanie 56m2 + balkon Bez Prowizji,"ul. Wołowa, Politechniczna, Polesie, Łódź, łódzkie",Polesie
385000,3,60.84,6328.0,https://www.otodom.pl/pl/oferta/m4-loggia-2-pietro-na-zgierskiej-ID4zciC,"⭐‼️M4 loggia, 2 piętro na Zgierskiej⭐‼️","ul. Zgierska, Konstantynów Łódzki, pabianicki, łódzkie",Konstantynów Łódzki
999000,3,136.0,7346.0,https://www.otodom.pl/pl/oferta/niepowtarzalny-apartament-piotrkowska-lodz-ID4jzE0,Niepowtarzalny apartament - Piotrkowska Łódź,"Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
1180000,3,119.25,9895.0,https://www.otodom.pl/pl/oferta/mieszkanie-119-25-m-lodz-ID4yQL3,"Mieszkanie, 119,25 m², Łódź","Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
699000,2,67.15,10410.0,https://www.otodom.pl/pl/oferta/mieszkanie-67-15-m-lodz-ID4yQLa,"Mieszkanie, 67,15 m², Łódź","Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
279000,2,45.0,6200.0,https://www.otodom.pl/pl/oferta/2-pok-teofilow-komorka-wsch-zach-ID4zcil,2 Pok | Teofilów | Komórka | Wsch-Zach,"ul. Rojna, Teofilów, Bałuty, Łódź, łódzkie",Bałuty
269000,1,33.0,8152.0,https://www.otodom.pl/pl/oferta/osiedle-chelmonskiego-ladne-rozkladowe-m-2-do-zamieszkania-ID4yuHW,"Osiedle Chełmońskiego Ładne, rozkładowe M-2 do zamieszkania","ul. Józefa Chełmońskiego, Górniak, Górna, Łódź, łódzkie",Górna
714000,3,79.35,8998.0,https://www.otodom.pl/pl/oferta/komfortowe-80-m2-z-wyposazeniem-w-cenie-lodz-ul-obywatelska-ID4ygGD,Komfortowe 80 m2 z wyposażeniem w cenie - Łódź ul. Obywatelska,"Nowe Sady, Polesie, Łódź, łódzkie",Polesie
999000,3,66.92,14928.0,https://www.otodom.pl/pl/oferta/tu-zacumujesz-na-dluzej-marina-czeka-z-widokiem-i-stylem-julianow-ID4zchX,Tu zacumujesz na dłużej – Marina czeka z widokiem i stylem! | JULIANÓW,"Żabieniec, Bałuty, Łódź, łódzkie",Bałuty
448912,3,51.73,8678.0,https://www.otodom.pl/pl/oferta/promocja-black-week-3-pokoje-piotrkowska-metro-manufaktura-ID4zaMQ,Promocja! Black Week - 3 pokoje Piotrkowska - Metro - Manufaktura,"Centrum, Śródmieście, Łódź, łódzkie",Śródmieście
421288,3,49.54,8504.0,https://www.otodom.pl/pl/oferta/garaz-gratis-black-week-3-pokoje-politechnika-lodzka-sukcesja-ID4zarj,Garaż gratis! Black Week - 3 pokoje - Politechnika Łódzka • Sukcesja,"Nowe Rokicie, Górna, Łódź, łódzkie",Górna
325017,1,32.83,9900.0,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4wsSA,1-pokojowe mieszkanie 32m2 + balkon Bez Prowizji,"ul. Marcina Kasprzaka, Stare Polesie, Polesie, Łódź, łódzkie",Polesie
168000,2,39.0,4308.0,https://www.otodom.pl/pl/oferta/dwa-pokoje-kolo-umedu-dla-studenta-lub-rodziny-ID4xA3I,Dwa pokoje koło UMEDu. Dla studenta lub rodziny.,"Stare Polesie, Polesie, Łódź, łódzkie",Polesie
419000,2,39.3,10662.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-ID4xjxN,2-pokojowe mieszkanie 39m2 + balkon,"ul. Naftowa, Stare Polesie, Polesie, Łódź, łódzkie",Polesie
569000,4,71.45,7964.0,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-w-zielonym-sercu-lodzi-71-45-m2-od-reki-ID4zchG,"4 - Pokojowe Mieszkanie w Zielonym Sercu Łodzi, 71,45 m2 - OD RĘKI!","Szolc Rogozińskiego Stefana, Nowe Rokicie, Górna, Łódź, łódzkie",Górna
410000,3,62.0,6613.0,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-na-chojnach-od-zaraz-ID4uzjp,Mieszkanie 3 pokoje na Chojnach Od zaraz!,"Stare Chojny, Górna, Łódź, łódzkie",Górna
419000,2,43.61,9608.0,https://www.otodom.pl/pl/oferta/przestronne-dwupokojowe-mieszkanie-ul-prusa-ID4zchs,"Przestronne dwupokojowe mieszkanie, ul. Prusa","ul. Bolesława Prusa, Stare Bałuty, Bałuty, Łódź, łódzkie",Bałuty
520000,3,59.5,8739.0,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-super-lokalizacji-ID4yVdr,Piękne mieszkanie w super lokalizacji,"ul. Klonowa, Żubardź, Bałuty, Łódź, łódzkie",Bałuty
285219,1,28.81,9900.0,https://www.otodom.pl/pl/oferta/loft-wysokosc-ok-3-80mz-balkonem-gotowy-do-odbioru-cena-9-900zl-mkw-ID4z4FE,"Loft wysokość ok 3,80mz balkonem- Gotowy do odbioru!! Cena 9 900zł/mkw","al. marsz. Józefa Piłsudskiego, Stary Widzew, Widzew, Łódź, łódzkie",Widzew
449000,2,48.0,9354.0,https://www.otodom.pl/pl/oferta/mieszkanie-dwa-pokoje-z-balkonem-na-karolewie-ID4zch1,Mieszkanie dwa pokoje z balkonem na Karolewie,"ul. Bratysławska, Karolew, Polesie, Łódź, łódzkie",Polesie
249000,2,34.0,7324.0,https://www.otodom.pl/pl/oferta/m3-z-balkonem-na-retkini-ID4yMXa,M3 z balkonem na Retkini,"Karolew, Polesie, Łódź, łódzkie",Polesie
