price,n_rooms,area,price_per_m2,link,title,address,district
625000,2,36.0,17361.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-ul-wieniawskiego-krakow-ID4yRNB,2-pokojowe mieszkanie ul. Wieniawskiego Kraków,"ul. Henryka Wieniawskiego, Olsza, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
639999,2,44.56,14363.0,https://www.otodom.pl/pl/oferta/2pokoje-oddzielna-kuchnia-os-albertynskie-czyzyny-ID4yeSg,"2pokoje, oddzielna kuchnia,os.Albertyńskie,Czyżyny","os. Albertyńskie, Bieńczyce, Bieńczyce, Kraków, małopolskie",Bieńczyce
969840,3,71.84,13500.0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-71m2-balkon-bezposrednio-ID4uhSX,3-pokojowe mieszkanie 71m2 + balkon Bezpośrednio,"ul. Przewóz, Płaszów, Podgórze, Kraków, małopolskie",Podgórze
645000,2,48.0,13438.0,https://www.otodom.pl/pl/oferta/widok-na-zielen-2pok-osobna-kuchnia-parking-ID4yXcv,widok na zieleń/2pok osobna kuchnia/parking,"Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
629000,2,49.3,12759.0,https://www.otodom.pl/pl/oferta/sprzedami-mieszkanie-dwupokojowe-ID4znna,Sprzedami mieszkanie dwupokojowe,"ul. Stanisława Stojałowskiego, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
758000,2,40.67,18638.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-loggia-ID4uomC,2-pokojowe mieszkanie 40m2 + loggia,"ul. Do Wilgi, Cegielniana, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",Łagiewniki-Borek Fałęcki
1147963,3,65.08,17639.0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-balkon-bez-prowizji-ID4ulY5,3-pokojowe mieszkanie 65m2 + balkon Bez Prowizji,"ul. Jana Dekerta, Zabłocie, Podgórze, Kraków, małopolskie",Podgórze
1599000,4,88.0,18170.0,https://www.otodom.pl/pl/oferta/promocja-apartament-87-48m2-taras-35m2-ID4z0NB,"PROMOCJA apartament 87,48m2 + taras 35m2","ul. Puszkarska, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
1042000,3,62.05,16793.0,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-zlota-podkowa-62m2-sprzedam-ID4zgC8,Mieszkanie osiedle złota podkowa 62m2 sprzedam,"Bronowice Małe, Bronowice, Kraków, małopolskie",Bronowice
699915,2,48.27,14500.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-48m2-loggia-ID4ui5t,2-pokojowe mieszkanie 48m2 + loggia,"ul. Drożdżowa, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",Bieżanów-Prokocim
538524,2,42.74,12600.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-ogrodek-bez-prowizji-ID4x6jp,2-pokojowe mieszkanie 42m2 + ogródek Bez Prowizji,"ul. Bukowa, Rybitwy, Podgórze, Kraków, małopolskie",Podgórze
659772,2,44.28,14900.0,https://www.otodom.pl/pl/oferta/piasta-park-vi-mieszkanie-2-pok-g1-80-ID4x6DB,Piasta Park VI | mieszkanie 2-pok. | G1-80,"os. Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",Mistrzejowice
634839,2,39.61,16027.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-bez-posrednikow-ID4vmU3,2-pokojowe mieszkanie 39m2 Bez Pośredników,"ul. Kocmyrzowska, Bieńczyce, Bieńczyce, Kraków, małopolskie",Bieńczyce
638597,1,42.98,14858.0,https://www.otodom.pl/pl/oferta/faktoria-mlyn-lokal-inwestycyjny-b1-b2-p3-lu-8-ID4wDth,Faktoria Młyn | lokal inwestycyjny B1.B2.P3.LU.8,"ul. Kocmyrzowska 3A, Bieńczyce, Bieńczyce, Kraków, małopolskie",Bieńczyce
610000,1,37.12,16433.0,https://www.otodom.pl/pl/oferta/krakow-ruczaj-ul-milkowskiego-37-12-m2-ID4yJ6R,"Kraków-Ruczaj-ul. Miłkowskiego- 37,12 m2","ul. Zygmunta Miłkowskiego, Ruczaj, Dębniki, Kraków, małopolskie",Dębniki
730000,2,36.62,19934.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-duzym-balkonem-ID4zjQU,2-pokojowe mieszkanie z dużym balkonem,"ul. Cystersów, Grzegórzki, Grzegórzki, Kraków, małopolskie",Grzegórzki
798768,3,55.47,14400.0,https://www.otodom.pl/pl/oferta/nowoczesne-m3-atrakcyjna-cena-i-super-lokalizacja-ID4tC7X,"Nowoczesne M3, atrakcyjna cena i super lokalizacja","Ruczaj, Dębniki, Kraków, małopolskie",Dębniki
723240,2,36.9,19600.0,https://www.otodom.pl/pl/oferta/bezposrednio-ciche-2-pokoje-36-9-m-blisko-ronda-matecznego-ID4yRS0,"Bezpośrednio! Ciche 2 pokoje (36,9 m²) | Blisko Ronda Matecznego","ul. Marii Konopnickiej, Stare Podgórze, Podgórze, Kraków, małopolskie",Podgórze
622000,2,33.0,18848.0,https://www.otodom.pl/pl/oferta/bez-prowizji-przytulne-2-pokoje-garaz-ID4xYK2,Bez Prowizji | Przytulne 2 pokoje | Garaż ,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",Podgórze
650000,2,38.8,16753.0,https://www.otodom.pl/pl/oferta/przytulne-dwa-pokoje-z-pieknym-widokiem-ID4yNNa,Przytulne dwa pokoje z pięknym widokiem,"ul. Batalionu ""Skała"" AK, Azory, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
672000,3,48.25,13927.0,https://www.otodom.pl/pl/oferta/3-pokoje-balkon-bezposrednio-przy-zieleni-ID4yA37,3 pokoje | balkon | bezpośrednio przy zieleni,"os. Przy Arce, Bieńczyce, Bieńczyce, Kraków, małopolskie",Bieńczyce
360000,1,24.6,14634.0,https://www.otodom.pl/pl/oferta/grzegorzki-kawalerka-do-remontu-super-cena-ID4yITa,"Grzegórzki, kawalerka do remontu - super cena","ul. Kryniczna, Osiedle Oficerskie, Grzegórzki, Kraków, małopolskie",Grzegórzki
659000,2,33.0,19970.0,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-33m-z-tarasem-blisko-tauron-areny-ID4xYUr,2 pok Mieszkanie 33m z tarasem blisko Tauron Areny,"ul. Ogrodnicza, Rakowice, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
799900,2,51.01,15681.0,https://www.otodom.pl/pl/oferta/sliczna-2-pok-mieszkanie-niedaleko-tauron-areny-ID4z62l,Śliczna - 2 pok. mieszkanie niedaleko Tauron Areny,"ul. Śliczna, Rakowice, Prądnik Czerwony, Kraków, małopolskie",Prądnik Czerwony
1199000,4,88.0,13625.0,https://www.otodom.pl/pl/oferta/3-sypialnie-1-pietro-nowe-budownictwo-ID4yepK,3 sypialnie | 1 piętro | nowe budownictwo,"Czyżyny, Czyżyny, Kraków, małopolskie",Czyżyny
829786,3,54.0,15366.0,https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-park-od-poludnia-ID4znlD,Mieszkanie z widokiem na park - OD Południa,"ul. Leonida Teligi, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",Bieżanów-Prokocim
699000,3,55.08,12691.0,https://www.otodom.pl/pl/oferta/komfortowe-3-pokojowe-mieszkanie-z-duzym-balkonem-ID4z6d2,Komfortowe 3-pokojowe mieszkanie z dużym balkonem,"Opatkowice, Swoszowice, Kraków, małopolskie",Swoszowice
998000,2,64.0,15594.0,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-64-m-ul-rydla-bronowice-ID4yrxI,Mieszkanie 2 pokoje 64 m² ul. Rydla (Bronowice),"Bronowice, Bronowice, Kraków, małopolskie",Bronowice
1100000,3,84.08,13083.0,https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-i-miejscem-postojowym-ID4zaN3,Mieszkanie z balkonem i miejscem postojowym,"ul. Mieczykowa, Kliny, Swoszowice, Kraków, małopolskie",Swoszowice
1350000,3,64.0,21094.0,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-3-pok-ul-przybyszewskiego-ID4znle,Nowoczesne mieszkanie 3-pok | ul. Przybyszewskiego,"ul. Stanisława Przybyszewskiego, Małe Błonia, Krowodrza, Kraków, małopolskie",Krowodrza
1085000,3,57.4,18902.0,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-ul-dabska-bez-posrednikow-ID4znkR,"Mieszkanie 3-pokojowe, ul. Dąbska-bez pośredników!","ul. Dąbska, Dąbie, Grzegórzki, Kraków, małopolskie",Grzegórzki
765000,3,62.0,12339.0,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-miejscem-postojowym-ID4xTMG,3-pokojowe mieszkanie z miejscem postojowym!,"ul. abp. Zygmunta Szczęsnego Felińskiego, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
1100000,3,78.3,14049.0,https://www.otodom.pl/pl/oferta/lwowska-plac-boh-getta-stare-podgorze-78m2-2-syp-ID4fK6V,Lwowska Plac Boh. Getta Stare Podgórze 78m2! 2 syp,"ul. Lwowska, Stare Podgórze, Podgórze, Kraków, małopolskie",Podgórze
665000,1,37.0,17973.0,https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-stare-podgorze-zamoyskiego-25-37m2-ID4z7Rm,Kawalerka na sprzedaż – Stare Podgórze – Zamoyskiego 25 – 37m2 -,"ul. Jana Zamoyskiego, Stare Podgórze, Podgórze, Kraków, małopolskie",Podgórze
635000,3,49.0,12959.0,https://www.otodom.pl/pl/oferta/jasne-3-pokojowe-49-m-z-tarasem-i-miejscem-postojowym-ID4zdiU,Jasne 3-pokojowe 49 m² z tarasem i miejscem postojowym,"ul. Łowienicka, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
681408,2,40.32,16900.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-taras-bez-prowizji-ID4ujlc,2-pokojowe mieszkanie 40m2 + taras Bez Prowizji,"ul. Ludwika Pasteura, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
910000,3,49.12,18526.0,https://www.otodom.pl/pl/oferta/3-pok-wysoki-standard-idealne-dla-pary-ID4znk5,3 POK | Wysoki Standard | Idealne DLA Pary|,"ul. Stefana Banacha, Górka Narodowa, Prądnik Biały, Kraków, małopolskie",Prądnik Biały
649000,2,40.78,15915.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-ogrodek-bez-prowizji-ID4uomy,2-pokojowe mieszkanie 40m2 + ogródek Bez Prowizji,"ul. Do Wilgi, Cegielniana, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",Łagiewniki-Borek Fałęcki
1590000,3,74.49,21345.0,https://www.otodom.pl/pl/oferta/mieszkanie-w-sercu-krakowa-ID4zcPH,mieszkanie w sercu Krakowa,"ul. Adama Asnyka, Piasek, Stare Miasto, Kraków, małopolskie",Stare Miasto
2015000,4,103.0,19563.0,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-w-sercu-krakowa-ID4utgz,Wyjątkowe mieszkanie w sercu Krakowa,"ul. Aleksandra Lubomirskiego, Wesoła Wschód, Grzegórzki, Kraków, małopolskie",Grzegórzki
665000,1,28.96,22963.0,https://www.otodom.pl/pl/oferta/dietla-109-centrum-umeblowane-szybka-kolej-ID4zk7L,"Dietla 109 | Centrum, umeblowane, szybka kolej!","Kazimierz, Stare Miasto, Kraków, małopolskie",Stare Miasto
541554,1,34.06,15900.0,https://www.otodom.pl/pl/oferta/sunny-south-facing-studio-with-a-balcony-ID4znjI,Sunny South Facing Studio with a Balcony!,"ul. Podedworze, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",Podgórze Duchackie
1250000,3,77.0,16234.0,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-na-sprzedaz-kazimierz-ID4znjB,"Klimatyczne mieszkanie na sprzedaż, Kazimierz","ul. Krakowska, Kazimierz, Stare Miasto, Kraków, małopolskie",Stare Miasto
