price,n_rooms,area,price_per_m2,link,title,address,district
990000,3,62.0,15968.0,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-balkonem-na-bemowie-ID4xXbd,Przestronne 3-pokojowe mieszkanie z balkonem na Bemowie,"ul. gen. Sylwestra Kaliskiego, Fort Radiowo, Bemowo, Warszawa, mazowieckie",Bemowo
2550000,4,104.0,24519.0,https://www.otodom.pl/pl/oferta/okazja-piekny-apartament-po-remoncie-i-wyposazony-prowizja-0-ID4z5dM,"OKAZJA, piękny apartament po remoncie i wyposażony, prowizja 0%","ul. Kazachska, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Wilanów
1899000,3,68.0,27926.0,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-w-holm-house-blisko-parki-ID4yrsH,Nowoczesny apartament w Holm House- blisko parki,"Ksawerów, Mokotów, Warszawa, mazowieckie",Mokotów
849764,2,38.98,21800.0,https://www.otodom.pl/pl/oferta/2-pokoje-do-wprowadzenia-bez-prowizji-ID4xiaR,2 Pokoje | Do wprowadzenia | BEZ PROWIZJI,"ul. Jutrzenki, Raków, Włochy, Warszawa, mazowieckie",Włochy
590000,2,33.85,17430.0,https://www.otodom.pl/pl/oferta/ciche-odnowione-2-pokojowe-mieszkanie-gotowe-do-zamieszkania-ID4znqh,CICHE ODNOWIONE 2-POKOJOWE MIESZKANIE! GOTOWE DO ZAMIESZKANIA!,"ul. Antoniego Magiera, Słodowiec, Bielany, Warszawa, mazowieckie",Bielany
559000,1,26.25,21295.0,https://www.otodom.pl/pl/oferta/kawalerka-do-wejscia-na-juz-gotowa-super-widok-na-centrum-ID4xqGZ,Kawalerka | Do wejścia | Na już | Gotowa | Super Widok na Centrum,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",Ursus
767598,2,44.0,17445.0,https://www.otodom.pl/pl/oferta/promocja-2-pok-mieszkanie-w-nowoczesnym-osiedlu-bez-prowizji-bez-pcc-ID4znqi,"PROMOCJA! 2-pok.mieszkanie w nowoczesnym osiedlu BEZ PROWIZJI, BEZ PCC","ul. Mińska, Kamionek, Praga-Południe, Warszawa, mazowieckie",Praga-Południe
1100000,3,55.61,19781.0,https://www.otodom.pl/pl/oferta/osiedle-minska-3-pokoje-do-wprowadzenia-ID4x262,Osiedle Mińska | 3 pokoje | Do wprowadzenia,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",Praga-Południe
799000,2,49.5,16141.0,https://www.otodom.pl/pl/oferta/swiezo-wyremontowane-2-pokoje-ID4vuHO,Świeżo wyremontowane 2 pokoje,"ul. Naukowa, Stare Włochy, Włochy, Warszawa, mazowieckie",Włochy
789000,2,49.6,15907.0,https://www.otodom.pl/pl/oferta/duze-mieszkanie-2-pokojowe-z-przepieknym-widokiem-balkon-garaz-ID4zno6,Duże mieszkanie 2 pokojowe z przepięknym widokiem Balkon | Garaż,"ul. Modlińska, Henryków, Białołęka, Warszawa, mazowieckie",Białołęka
