price,n_rooms,area,price_per_m2,link,title,address,district
3800,2,53.0,72.0,https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-53-m-swietna-komunikacja-stegny-mokotow-ID4y5RB,"Komfortowe 3 pokoje 53 m² | świetna komunikacja - Stegny, Mokotów","ul. Sewastopolska, Stegny, Mokotów, Warszawa, mazowieckie",Mokotów
3000,2,48.0,62.0,https://www.otodom.pl/pl/oferta/bez-prowizji-mieszkanie-w-prestizowej-inwestycji-jasminowa-3-mokotow-ID4yhez,BEZ PROWIZJI! Mieszkanie w prestiżowej inwestycji Jaśminowa 3 Mokotów,"ul. Jaśminowa, Stegny, Mokotów, Warszawa, mazowieckie",Mokotów
4500,3,74.0,61.0,https://www.otodom.pl/pl/oferta/3-minuty-pieszo-plac-unii-lubelskiej-metro-ID4tmrf,"3 minuty PIESZO --- Plac UNII LUBELSKIEJ, Metro!","Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",Śródmieście
3500,2,46.0,76.0,https://www.otodom.pl/pl/oferta/5-minut-pieszo-metro-centrum-nauki-kopernik-bulwary-wislane-ID4z4sU,"5 minut PIESZO --- METRO CENTRUM NAUKI KOPERNIK, BULWARY WIŚLANE!","ul. Tamka, Powiśle, Śródmieście, Warszawa, mazowieckie",Śródmieście
3000,1,23.0,130.0,https://www.otodom.pl/pl/oferta/jasna-kawalerka-po-odswiezeniu-wszystko-w-cenie-malaskiego-ID4znp0,Jasna kawalerka po odświeżeniu | wszystko w cenie | Malaskiego,"ul. Artura Malawskiego, Wyględów, Mokotów, Warszawa, mazowieckie",Mokotów
3900,2,47.0,83.0,https://www.otodom.pl/pl/oferta/mieszkanie-47-m2-zoliborz-artystyczny-ID4wS05,Mieszkanie 47 m2 – Żoliborz Artystyczny,"ul. Kaliny Jędrusik, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",Żoliborz
3164,2,38.0,83.0,https://www.otodom.pl/pl/oferta/od-zaraz-przytulne-2-pokoje-balkon-francuski-wifi-w-cenie-ID4z8nt,"OD ZARAZ, Przytulne 2 pokoje, balkon francuski | Wifi w cenie","ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie",Praga-Południe
2700,2,37.0,73.0,https://www.otodom.pl/pl/oferta/metro-5-min-oddzielna-kuchnia-bezposrednio-ID4znoD,Metro 5 min Oddzielna kuchnia BEZPOŚREDNIO,"ul. Pustola, Ulrychów, Wola, Warszawa, mazowieckie",Wola
4500,3,52.0,87.0,https://www.otodom.pl/pl/oferta/5-minut-autobusem-metro-rondo-daszynskiego-ID4znoF,5 minut autobusem --- METRO Rondo Daszyńskiego,"ul. Marcina Kasprzaka, Czyste, Wola, Warszawa, mazowieckie",Wola
2500,1,25.0,100.0,https://www.otodom.pl/pl/oferta/nowa-kawalerka-blisko-metro-dworzec-wilenski-szwedzka-ID4znos,"Nowa kawalerka, blisko Metro Dworzec Wileński/Szwedzka","ul. Konopacka, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",Praga-Północ
4800,3,58.06,83.0,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-przy-metrze-plocka-3-pokoje-garaz-city-link-ID45Mxh,"Wynajmę mieszkanie przy Metrze Płocka, 3 pokoje, Garaż, City Link","ul. Skierniewicka, Czyste, Wola, Warszawa, mazowieckie",Wola
5500,2,43.0,128.0,https://www.otodom.pl/pl/oferta/2-pokoje-w-prestizowej-inwestycji-2025-duzy-balkon-garaz-w-cenie-ID4zacU,2 pokoje w prestiżowej inwestycji 2025 | Duży balkon | Garaż w cenie,"ul. Chmielna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",Śródmieście
2950,1,36.0,82.0,https://www.otodom.pl/pl/oferta/kawalerka-36m2-na-saskiej-kepie-oddzielna-kuchnia-ul-alzacka-ID4zno0,"Kawalerka 36m2 na Saskiej Kępie, oddzielna kuchnia, ul. Alzacka","ul. Alzacka, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",Praga-Południe
2600,1,25.0,104.0,https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-przy-stacji-metra-ks-janusza-bez-prowizji-ID46cuc,Kawalerka po remoncie przy stacji metra Ks. Janusza - bez prowizji!,"ul. Deotymy, Koło, Wola, Warszawa, mazowieckie",Wola
4999,2,55.0,91.0,https://www.otodom.pl/pl/oferta/lux-near-metro-cn-kopernik-and-elektrownia-powisle-ID4z5iB,Lux near Metro CN Kopernik and Elektrownia Powisle,"ul. Topiel, Powiśle, Śródmieście, Warszawa, mazowieckie",Śródmieście
2570,1,24.95,103.0,https://www.otodom.pl/pl/oferta/cozy-studio-with-wi-fi-kawalerka-z-wi-fi-bez-prowizji-ID4zhnM,Cozy Studio with WI-Fi | Kawalerka z Wi-Fi | BEZ Prowizji,"ul. Szczęsna, Stare Włochy, Włochy, Warszawa, mazowieckie",Włochy
4000,2,42.0,95.0,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-ul-raclawicka-ID4znnC,Nowe mieszkanie ul Racławicka,"ul. Racławicka, Stary Mokotów, Mokotów, Warszawa, mazowieckie",Mokotów
2680,1,22.1,121.0,https://www.otodom.pl/pl/oferta/bez-prowizji-no-commission-przytulna-kawalerka-z-balkonem-studio-ID4zhn5,Bez Prowizji | No Commission | Przytulna Kawalerka z Balkonem | Studio,"ul. Szczęsna, Stare Włochy, Włochy, Warszawa, mazowieckie",Włochy
4500,2,52.4,86.0,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-52-m2-rzeczypospolitej-ID4gdNa,Mieszkanie z ogródkiem 52 m2 Rzeczypospolitej,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Wilanów
2919,2,29.76,98.0,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-przyjazne-zwierzetom-wifi-w-cenie-najmu-ID4znn9,"Nowoczesne 2 pokoje, przyjazne zwierzętom | WiFi w cenie najmu!","ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie",Praga-Południe
2400,1,35.0,69.0,https://www.otodom.pl/pl/oferta/kawalerka-metro-bemowo-dostepne-od-zaraz-ID44rHk,Kawalerka Metro Bemowo - dostępne od zaraz,"Górce, Bemowo, Warszawa, mazowieckie",Bemowo
3017,2,39.9,76.0,https://www.otodom.pl/pl/oferta/od-zaraz-dwupokojowe-mieszkanie-z-balkonem-cozy-1-bedroom-apartment-ID4zhwS,OD ZARAZ |Dwupokojowe mieszkanie z Balkonem |Cozy 1-Bedroom apartment,"ul. Szczęsna, Stare Włochy, Włochy, Warszawa, mazowieckie",Włochy
3800,2,42.2,90.0,https://www.otodom.pl/pl/oferta/mieszkanie-na-wysokim-pietrze-z-balkonem-i-garazem-ID4lgn4,Mieszkanie na wysokim piętrze z balkonem i garażem,"Odolany, Wola, Warszawa, mazowieckie",Wola
10500,3,84.31,125.0,https://www.otodom.pl/pl/oferta/elegancja-cisza-i-spokoj-klimatyzacja-ID4znd5,"Elegancja, cisza i spokój, klimatyzacja","ul. abp. Józefa Teodorowicza, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",Wilanów
