price,n_rooms,area,price_per_m2,link,title,address,district
2800,2,44.0,64.0,https://www.otodom.pl/pl/oferta/mieszkanie-44-m-lodz-ID4znmm,"Mieszkanie, 44 m², Łódź","al. marsz. Edwarda Śmigłego-Rydza, Zarzew, Widzew, Łódź, łódzkie",Widzew
1850,2,42.0,44.0,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-wyremontowane-w-lodzi-retkinia-od-22-12-2025-ID4mOLI,"Wynajmę mieszkanie wyremontowane, w Łodzi RETKINIA, od 22.12.2025","Stare Polesie, Polesie, Łódź, łódzkie",Polesie
6900,4,136.0,51.0,https://www.otodom.pl/pl/oferta/wynajem-komfortowego-segmentu-lodz-gorna-ID43F36,Wynajem KOMFORTOWEGO segmentu - Łódź Górna,"ul. Graniczna, Stare Chojny, Górna, Łódź, łódzkie",Górna
2000,3,53.0,38.0,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-blisko-manufaktury-ID4zd1U,Mieszkanie 3 pokojowe blisko Manufaktury!,"Koziny, Polesie, Łódź, łódzkie",Polesie
1700,2,47.48,36.0,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-w-lodzi-gorna-srodmiescie-ID4oZTA,Wynajmę mieszkanie w Łodzi Górna - Śródmieście,"Koziny, Polesie, Łódź, łódzkie",Polesie
3000,2,42.14,71.0,https://www.otodom.pl/pl/oferta/interesujace-mieszkanie-na-ulicy-zlotno-ID4z7IU,Interesujące mieszkanie na ulicy Złotno,"ul. Złotno, Złotno, Polesie, Łódź, łódzkie",Polesie
4500,4,91.67,49.0,https://www.otodom.pl/pl/oferta/lux-klimatyzacja-garaz-komorka-lokatorska-ID4znh1,Lux //Klimatyzacja //Garaż //Komórka Lokatorska,"ul. Okopowa, Marysin Doły, Bałuty, Łódź, łódzkie",Bałuty
2000,2,50.0,40.0,https://www.otodom.pl/pl/oferta/m3-po-remoncie-czyste-ladny-widok-bez-posrednikow-ID4uAO3,M3 PO REMONCIE czyste ŁADNY WIDOK bez pośredników,"Retkinia, Polesie, Łódź, łódzkie",Polesie
2000,2,45.39,44.0,https://www.otodom.pl/pl/oferta/lodz-ul-kwp-po-remoncie-do-wynajecia-ID4z8rY,"Łódź, ul. KWP, po remoncie, do wynajęcia","Dąbrowa, Górna, Łódź, łódzkie",Górna
1950,3,48.0,41.0,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-lodz-3-pokoje-ID4z8Li,"Mieszkanie na wynajem, Łódź, 3 pokoje","Dąbrowa, Górna, Łódź, łódzkie",Górna
1200,1,27.0,44.0,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-w-spokojnej-okolicy-teofilow-pelne-wyposazenie-ID4zng9,"Mieszkanie po remoncie w spokojnej okolicy Teofilów, pełne wyposażenie","ul. Rojna, Teofilów, Bałuty, Łódź, łódzkie",Bałuty
1500,2,47.0,32.0,https://www.otodom.pl/pl/oferta/po-remoncie-osiedle-koziny-dwa-rozkladowe-pokoj-ID4zbaH,"Po remoncie, osiedle Koziny, dwa rozkładowe pokoj","ul. Powstańców Wielkopolskich, Żubardź, Bałuty, Łódź, łódzkie",Bałuty
1600,2,45.13,35.0,https://www.otodom.pl/pl/oferta/hipoteczna-przestronne-dwa-pokoje-z-balkonem-ID4yXaI,"Hipoteczna, przestronne dwa pokoje z balkonem","ul. Hipoteczna, Stare Bałuty, Bałuty, Łódź, łódzkie",Bałuty
2200,2,51.63,43.0,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-garderoba-i-garazem-nie-w-kamienicy-ID4z5Iw,2-pokojowe mieszkanie z garderobą i garażem. NIE w kamienicy :),"ul. Stefana Żeromskiego, Stare Polesie, Polesie, Łódź, łódzkie",Polesie
